Zutat (Obst);Jan;Feb;Mär;Apr;Mai;Jun;Jul;Aug;Sep;Okt;Nov;Dez
Apfel;(ja);(ja);(ja);(ja);(ja);nein;nein;ja;ja;ja;ja;(ja)
Aprikose;nein;nein;nein;nein;nein;nein;ja;ja;nein;nein;nein;nein
Birne;nein;nein;nein;nein;nein;nein;nein;ja;ja;ja;(ja);(ja)
Heidelbeeren;nein;nein;nein;nein;nein;ja;ja;ja;ja;nein;nein;nein
Erdbeeren;nein;nein;nein;nein;ja;ja;ja;nein;nein;nein;nein;nein
Himbeeren;nein;nein;nein;nein;nein;ja;ja;ja;nein;nein;nein;nein
Holunderbeeren-Flieder;nein;nein;nein;nein;nein;nein;nein;nein;ja;ja;nein;nein
Johannisbeeren;nein;nein;nein;nein;nein;ja;ja;ja;nein;nein;nein;nein
Kirschen;nein;nein;nein;nein;nein;ja;ja;ja;nein;nein;nein;nein
Mirabellen;nein;nein;nein;nein;nein;nein;ja;ja;ja;nein;nein;nein
Pflaumen;nein;nein;nein;nein;nein;nein;ja;ja;ja;nein;nein;nein
Quitten;nein;nein;nein;nein;nein;nein;nein;nein;ja;ja;ja;nein
Rhabarber;nein;nein;nein;ja;ja;ja;nein;nein;nein;nein;nein;nein
Stachelbeeren;nein;nein;nein;nein;nein;ja;ja;ja;nein;nein;nein;nein
Wassermelonen;nein;nein;nein;nein;nein;nein;nein;ja;ja;nein;nein;nein
Weintrauben;nein;nein;nein;nein;nein;nein;nein;nein;ja;ja;nein;nein
Zwetschgen;nein;nein;nein;nein;nein;nein;ja;ja;ja;ja;nein;nein
